MN-HN-181
Minneapolis 0.4 NE
observation date, observation time, liquid, snowfall, snow depth
2017-04-01, 07:00:00 , 0, 0, 0
2017-04-02, 07:00:00, 0, 0, 0
2017-04-03, 07:00:00, T, 0, 0
2017-04-04, 07:00:00, 0.05, 0, 0
2017-04-05, 07:00:00, 0, 0, 0
2017-04-06, 07:00:00, 0, 0, 0
2017-04-07, 07:00:00, 0, 0, 0
2017-04-08, 07:00:00, 0, 0, 0
2017-04-09, 07:00:00, 0, 0, 0
2017-04-10, 07:00:00, 0.04, 0, 0
2017-04-11, 07:00:00, 0.21, 0, 0
2017-04-12, 07:00:00, T, 0, 0
2017-04-13, 07:00:00, 0.21, 0, 0
2017-04-14, 07:00:00, 0, 0, 0
2017-04-15, 07:00:00, 0.61, 0, 0
2017-04-16, 07:00:00, 0.43, 0, 0
2017-04-17, 07:00:00, 0, 0, 0
2017-04-18, 07:00:00, 0, 0, 0
2017-04-19, 07:00:00, 0.24, 0, 0
2017-04-20, 07:00:00, 0.89, 0, 0
2017-04-21, 07:00:00, 0.02, 0, 0
2017-04-22, 07:00:00, 0, 0, 0
2017-04-23, 07:00:00, 0, 0, 0
2017-04-24, 07:00:00, 0, 0, 0
2017-04-25, 07:00:00, 0, 0, 0
2017-04-26, 07:00:00, 0.92, 0, 0
2017-04-27, 07:00:00, 0.04, 0, 0
2017-04-28, 07:00:00, T, 0, 0
2017-04-29, 07:00:00, 0, 0, 0
2017-04-30, 07:00:00, 0, 0, 0
2017-05-01, 07:00:00, 0.94, 0, 0
2017-05-02, 07:00:00, 0.23, 0, 0
2017-05-03, 07:00:00, 0, 0, 0
2017-05-04, 07:00:00, 0, 0, 0
2017-05-05, 07:00:00, 0, 0, 0
2017-05-06, 07:00:00, 0, 0, 0
2017-05-07, 07:00:00, 0, 0, 0
2017-05-08, 07:00:00, 0, 0, 0
2017-05-09, 07:00:00, 0.25, 0, 0
2017-05-10, 07:00:00, 0.01, 0, 0
2017-05-11, 07:00:00, 0.01, 0, 0
2017-05-12, 07:00:00, 0, 0, 0
2017-05-13, 07:00:00, 0, 0, 0
2017-05-14, 07:00:00, 0, 0, 0
2017-05-15, 07:00:00, 0, 0, 0
2017-05-16, 07:00:00, 0.64, 0, 0
2017-05-17, 07:00:00, 1.01, 0, 0
2017-05-18, 07:00:00, 1.62, 0, 0
2017-05-19, 07:00:00, 0.01, 0, 0
2017-05-20, 07:00:00, T, 0, 0
2017-05-21, 07:00:00, 1.46, 0, 0
2017-05-22, 07:00:00, 0.04, 0, 0
2017-05-23, 07:00:00, 0, 0, 0
2017-05-24, 07:00:00, 0.01, 0, 0
2017-05-25, 07:00:00, 0, 0, 0
2017-05-26, 07:00:00, 0.03, 0, 0
2017-05-27, 07:00:00, 0, 0, 0
2017-05-28, 07:00:00, 0.03, 0, 0
2017-05-29, 07:00:00, 0.04, 0, 0
2017-05-30, 07:00:00, 0.04, 0, 0
2017-05-31, 07:00:00, 0.02, 0, 0
2017-06-01, 07:00:00, 0, 0, 0
2017-06-02, 07:00:00, 0, 0, 0
2017-06-03, 07:00:00, 0, 0, 0
2017-06-04, 07:00:00, 0, 0, 0
2017-06-05, 07:00:00, 0, 0, 0
2017-06-06, 07:00:00, 0, 0, 0
2017-06-07, 07:00:00, 0, 0, 0
2017-06-08, 07:00:00, 0.11, 0, 0
2017-06-09, 07:00:00, 0, 0, 0
2017-06-10, 07:00:00, 0, 0, 0
2017-06-11, 07:00:00, 0, 0, 0
2017-06-12, 07:00:00, 0.83, 0, 0
2017-06-13, 07:00:00, 0.26, 0, 0
2017-06-14, 07:00:00, 0, 0, 0
2017-06-15, 07:00:00, 0, 0, 0
2017-06-16, 07:00:00, 0, 0, 0
2017-06-17, 07:00:00, 0, 0, 0
2017-06-18, 07:00:00, 0.33, 0, 0
2017-06-19, 07:00:00, 0, 0, 0
2017-06-20, 07:00:00, 0.20, 0, 0
2017-06-21, 07:00:00, 0, 0, 0
2017-06-22, 07:00:00, 0.04, 0, 0
2017-06-23, 07:00:00, 0.65, 0, 0
2017-06-24, 07:00:00, T, 0, 0
2017-06-25, 07:00:00, 0.04, 0, 0
2017-06-26, 07:00:00, T, 0, 0
2017-06-27, 07:00:00, 0, 0, 0
2017-06-28, 07:00:00, 0.54, 0, 0
2017-06-29, 07:00:00, 0.09, 0, 0
2017-06-30, 07:00:00, 0, 0, 0
